# Generated by tools/deep-check.mjs - do not edit.
# engine: lila-stockfish-web 0.0.11 sf16-7 (Stockfish 16, small NNUE net nn-ecb35f70ff2a, sha256 ecb35f70ff2aa4492caec6b552a1628e24319fbe1cc2aaf95eaebabdd92a1e37)
# settings: Threads 1, Hash 64 MB, ucinewgame before each position, MultiPV 5, go depth 28; drilled moves outside the top five searched with searchmoves
# baseline: src/data/evals.js (depth 20, same engine and settings); scores side-to-move centipawns, #n = mate in n
# selection: 128 of 364 drilled positions (narrow = one move within 30 cp of best; demanding = setupGate "demanding"; tactical = best is mate, capture or check)
# only_move: narrow claim 44 hold, 10 fail; demanding: 58 hold, 10 fail; drilled-move accept/reject changed at depth: 9
key	lines	flags	d20_best	d20_second	d20_gap	d20_ways	d28_best	d28_second	d28_gap	d28_ways	only_move	demanding	drilled	drilled_d20	drilled_d28	reached_depth
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	ck:0 kolt:0 ohanlon:0 …	demanding	Nf3 31	e4 31	0	5	d4 32	e4 32	0	5	n/a	fails	d4 Nf3	equal best	best equal	28
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1	ck:2 kolt:2 ohanlon:2 …	demanding	c4 30	Nf3 28	2	5	c4 31	Nf3 24	7	4	n/a	holds	Nf3	equal	equal	28
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 1	ck:4 kolt:4 ohanlon:4 …	demanding	c4 30	e3 14	16	5	c4 29	Bf4 14	15	5	n/a	holds	e3 Bg5 Bf4	equal equal equal	equal concession equal	28
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 1	ck:6 cz:6 rudel:6 …	demanding	b3 12	Nbd2 11	1	5	Bd3 10	b3 5	5	5	n/a	fails	Bd3	equal	best	28
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 0 1	ck:8 cz:8 cz-tab:8 …	demanding	b3 3	c4 2	1	5	b3 18	c4 2	16	5	n/a	holds	c3 b3	equal best	equal best	28
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R w KQkq - 0 1	ck:10 kolt:10	demanding	O-O 0	Nbd2 -2	2	5	Nbd2 5	O-O 4	1	5	n/a	fails	Nbd2	equal	best	28
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQK2R w KQkq - 0 1	ck:12 kolt:12	demanding	e4 10	O-O 6	4	5	dxc5 15	O-O 12	3	4	n/a	holds	O-O	equal	equal	28
r1bq1rk1/pp3ppp/2nbpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - - 0 1	ck:14 kolt:14	demanding,tactical	dxc5 9	h3 3	6	5	dxc5 10	Re1 3	7	5	n/a	holds	dxc5	best	best	28
r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/2PBPN2/PP1N1PPP/R1BQ1RK1 w - - 0 1	ck:16 kolt:16	demanding	b4 2	e4 -4	6	5	b4 7	e4 0	7	5	n/a	holds	e4	equal	equal	28
r1b2rk1/ppq2ppp/2n1pn2/2bp4/4P3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1	ck:18 kolt:18	demanding,tactical	exd5 -6	Qe2 -7	1	5	Qe2 0	exd5 -10	10	5	n/a	holds	Qe2	equal	best	28
